participant.id_in_session,participant.code,participant.label,participant._current_app_name,participant.time_started,player.id_in_group,player.contribution,player.remaining_points,player.pointsLost,player.flagPointsLost,player.pointsWonNorms,player.automatic_decision,player.num_automatic_decisions,player.empiricalExpectations1,player.empiricalExpectations2,player.empiricalExpectations3,player.empiricalExpectations4,player.personalNormativeBeliefs1,player.personalNormativeBeliefs2,player.personalNormativeBeliefs3,player.personalNormativeBeliefs4,player.normativeExpectations1,player.normativeExpectations2,player.normativeExpectations3,player.normativeExpectations4,player.question_1,player.question_2,player.question_3,player.payoff,group.id_in_subsession,group.group_effort,group.flagGroupSuccess,subsession.round_number,session.code,team
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,37,0,0,0,0,0,,,,,,,,,,,,,,,,37.0,1,0,1,12,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,0.0,47,0,0,2,0,0,,,,,,,,,,,,,,,,47.0,2,15,1,12,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,0,0,4,0,0,,,,,,,,,,,,,,,,28.0,2,15,1,12,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,15.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,12,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,2,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,12,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,50.0,37,13,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1,150,0,13,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,20.0,60,20,1,0,0,0,20.0,20.0,10.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,10.0,0.0,,,,0.0,1,150,0,13,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,30.0,52,18,1,0,0,0,15.0,20.0,10.0,0.0,15.0,15.0,15.0,0.0,20.0,20.0,10.0,0.0,,,,0.0,1,150,0,13,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,50.0,37,13,1,0,0,0,45.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,,,,0.0,1,150,0,13,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,15.0,63,22,1,0,0,0,20.0,10.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,10.0,0.0,,,,0.0,2,165,0,13,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,50.0,37,13,1,0,0,0,43.0,10.0,10.0,10.0,50.0,0.0,0.0,0.0,42.0,10.0,10.0,10.0,,,,0.0,2,165,0,13,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,0.0,74,26,1,0,0,0,10.0,10.0,40.0,40.0,0.0,10.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,0.0,2,165,0,13,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,100.0,0,0,1,0,0,0,20.0,30.0,30.0,20.0,10.0,50.0,20.0,20.0,40.0,30.0,20.0,10.0,,,,0.0,2,165,0,13,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,0.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,1,25,0,14,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,10.0,37,13,1,0,0,0,,,,,,,,,,,,,,,,0.0,1,25,0,14,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,15.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,1,25,0,14,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,1,25,0,14,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,5.0,43,15,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,0,14,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,0,14,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,10.0,48,16,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,0,14,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,0,14,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,5.0,23,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,20,0,15,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,5.0,32,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,20,0,15,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,10.0,18,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,20,0,15,every_round,0
